Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Blocker,Blocker Status,Blocker,Blocker Status,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
4728567,Optional Features - George,optional features,,,,epic,,,"Feb 14, 2021",,,,,https://www.pivotaltracker.com/epic/show/4728567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4728560,User Dashboard/Feed - Chris,user dashboard/feed,,,,epic,,,"Feb 14, 2021",,,,,https://www.pivotaltracker.com/epic/show/4728560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4728559,Event User Roles - Matt,event user roles,,,,epic,,,"Feb 14, 2021",,,,,https://www.pivotaltracker.com/epic/show/4728559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4728558,Basic Event Management - Karen,basic event management,,,,epic,,,"Feb 14, 2021",,,,,https://www.pivotaltracker.com/epic/show/4728558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4728557,User Authentication/Registration/Profile - Zach,user authentication/registration/profile,,,,epic,,,"Feb 14, 2021",,,,,https://www.pivotaltracker.com/epic/show/4728557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4728556,Invitee List - Aysha,invitee list,,,,epic,,,"Feb 14, 2021",,,,,https://www.pivotaltracker.com/epic/show/4728556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4728555,Event To-Do List - Vibhu,event to-do list,,,,epic,,,"Feb 14, 2021",,,,,https://www.pivotaltracker.com/epic/show/4728555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176879523,Log in,"essential, user authentication/registration/profile",1,"Mar 8, 2021","Mar 14, 2021",feature,2,started,"Feb 10, 2021",,,Zach Schandorf-Lartey,As a web site/user I want to be able to log into my account to securely gain access to my resources. -2H,https://www.pivotaltracker.com/story/show/176879523,Zach Schandorf-Lartey,,,,,"Given I am a registered user when I go to the web page and there is a user name/password field(s) available and a log in button, I am then able to securely access the web page. (ckulig - Feb 10, 2021)","Given the login page and that a user is registered, when the user clicks on the ""login with Google"" button, a popup window will open, asking the user will be asked to authenticate themselves with their google account (Zach Schandorf-Lartey - Feb 21, 2021)","Given the google authentication window is available, when the user selects their google account and an account in Plan.ly exists, the web app will display the user's feed (Zach Schandorf-Lartey - Feb 21, 2021)","Given I am a website user, when I visit the Plan.ly homepage, then I see a login form I can use to enter my valid email address and password. (George Wright - Mar 7, 2021)","Given I am a website user, when I attempt to login to Plan.ly with a set of credentials known to be valid, then I am redirected to my user dashboard/feed page as a logged-in user. (George Wright - Mar 7, 2021)","Given I am a website user, when I attempt to login to Plan.ly with a set of credentials known to be invalid, then I am presented with an error stating my login attempt failed, and I cannot progress past the login page. (George Wright - Mar 7, 2021)","Mockup for homepage/login form (George Wright - Mar 7, 2021)",,,Create authentication flow - 2h,completed,Create a login/signup component - .5h,completed,create the logic to check if the user logging in already has an account in the django database - 1h,completed,write user tests - 1h,not completed,test the log in flow -1h,not completed,"if the user does not exist, create logic to create user account in mongo database with the provided name/email/password  -3h",completed,"if the user does exist, create logic to send them to the dashboard component - 1h",completed,,,,,,
176949922,Sign up,"essential, user authentication/registration/profile",1,"Mar 8, 2021","Mar 14, 2021",feature,2,started,"Feb 15, 2021",,,Zach Schandorf-Lartey,"As a website user I want to be able to create an account to be able to create, view, and manage my events 8.5H",https://www.pivotaltracker.com/story/show/176949922,Zach Schandorf-Lartey,,,,,"Given the login page and that a user is not registered, when the user clicks on the ""login with Google"" button, a popup window will open, asking the user to select a Google account to use with the app
 (Zach Schandorf-Lartey - Feb 21, 2021)","Given the google authentication window is avialable, when the user selects their google account, they will be taken to a new window to continue the accout creation process
 (Zach Schandorf-Lartey - Feb 21, 2021)","Given that the account creation window is available, the user will be asked to enter their name, email, and phone number
 (Zach Schandorf-Lartey - Feb 21, 2021)","Given that that the user has entered in their accout information and clicks the ""continue"" button, their account will have been created and they will be taken to their feed
 (Zach Schandorf-Lartey - Feb 21, 2021)","Given I am a website user, when I visit the Plan.ly homepage, then I see a ""Sign Up"" button I can click to be taken to a new user account page that prompts me for email address, password, and name. (George Wright - Mar 7, 2021)","Given I am a website user, when I attempt to register for a new user account with name or password blank, or with an email address not in a valid email format, then I am presented with an error message that does not allow me to progress in the registration process. (George Wright - Mar 7, 2021)","Given I am a website user, when I attempt to register for a new user account having filled in name, password, and a correctly-formatted email address that has not previously been used to create another account, then I am redirected to my user dashboard page as a logged-in user. (George Wright - Mar 7, 2021)","Given I am a website user who has clicked ""Sign Up"" after loading the Plan.ly homepage, when I click the ""Go Back"" button, I am returned to the login form. (George Wright - Mar 7, 2021)"," (George Wright - Mar 7, 2021)",	-Create a login/signup component - .5h,completed,	-Create a google app that our web app will connect to - .5h (No longer needed),completed,	-Add the logic to connect our app to Google - .5h (no longer needed),completed,	-Create the login page ui - 1h,completed,	-create a user class in django - .5h,completed,	-add the logic to send the user token to django and create a user from it -2h,completed,	-add the logic to send the signed up/logged in user to a new page (the feed) - 1h,completed,	-Write unit tests -1h,not completed,	-test the sign up flow - 1h,not completed,create logic to retrieve account data from user class - 1h,completed
177135332,Bootstrap initial setup,ui/ux,1,"Mar 8, 2021","Mar 14, 2021",chore,,started,"Mar 1, 2021",,,Zach Schandorf-Lartey,Setup Bootstrap Framework and basic layouts in React,https://www.pivotaltracker.com/story/show/177135332,Zach Schandorf-Lartey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176936657,Receive Account Creation Email Notification,"essential, user authentication/registration/profile",1,"Mar 8, 2021","Mar 14, 2021",feature,3,unstarted,"Feb 14, 2021",,,Aysha Zenab Kenza,"As a web site user/member, when I register for a Plan.ly account using my Google credentials, I want to receive an email notification so that I can know my registration was succesful. - 6H
",https://www.pivotaltracker.com/story/show/176936657,,,,,,"Given a website user/member in current events, when the user clicks signing in or creates an account, then the user information should be recorded. (Aysha Zenab Kenza - Feb 18, 2021)","Given I am a website user who has not yet registered with Plan.ly, when I complete the ""signup with Google"" workflow for the first time, then I expect to receive an automated email confirming I have registered with Plan.ly. (George Wright - Feb 26, 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,,
176879628,Create a private event,"basic event management, essential",1,"Mar 8, 2021","Mar 14, 2021",feature,3,unstarted,"Feb 10, 2021",,,Karen Sommer,"As a website member(Signed User), I want to create a private event, so that I can share details like the description, location, and starting and ending date and time, of the event with the invitee. 6.5 H",https://www.pivotaltracker.com/story/show/176879628,,,,,,"Given I logged in and a create event button is available, when I click on the button, the create event page will be displayed with these input fields: events name, description, location, and starting and ending date and time. (Karen Sommer - Feb 14, 2021)","Given the create event page is available, when I fill all fields and click on 'Create and add invitees', then a new screen will be displayed for adding the invitees. The event will be added into the system and will be displayed in the current events or an error will show. (Karen Sommer - Feb 15, 2021)",,,,,,,,Create the UI create event page - 2h,not completed,Create a new event class - 0.5h,not completed,Add all caracteristics to class - 0.5h,not completed,Create the event in the database - 0.5h,not completed,Create logic to add the event to the database - 2h,not completed,Write unit tests - 1h,not completed,Integrate and do testing - 1h,not completed,,,,,,
176879375,View feed of events,"desirable, user dashboard/feed",2,"Mar 15, 2021","Mar 21, 2021",feature,2,unstarted,"Feb 10, 2021",,,ckulig,As a web site user/member I want to be able to view a feed of events that I am attending so I can easily see high level/minimal details including the event title and host name.,https://www.pivotaltracker.com/story/show/176879375,ckulig,#176879523,resolved,,,"Given I am a registered user when I am logged into the site on the home page I can view a list of my events including the event title and host name. (ckulig - Feb 10, 2021)","Given I am a registered/logged in user on the home page and an event list is available for viewing, when I have numerous events I am attending I can see them all by either scrolling down the page or scrolling within a smaller pane withing the home page. (ckulig - Feb 10, 2021)",,,,,,,,Create user class - .5h,not completed,Create the user in the database - .5h,not completed,Create the event class - .5h,not completed,Create an event table in the database - .5h,not completed,Create the React UI that will display the users event information - 1.5h,not completed,Unit test - 1.5h,not completed,,,,,,,,
176953068,Go To Event From Feed,"desirable, user dashboard/feed",2,"Mar 15, 2021","Mar 21, 2021",feature,1,unstarted,"Feb 15, 2021",,,ckulig,As a logged in user on the home page when there are events available in the feed I want to be able to click on an event within the feed and go to the details page to get information about it not available through the feed.,https://www.pivotaltracker.com/story/show/176953068,ckulig,,,,,"Given I am a registered user when I am logged in on the home page and there are events I am either hosting or attending and there is an event feed I am then able to click on a particular event and am directed to information about that specific event. (ckulig - Feb 15, 2021)","Given I am a user and I am registered, logged in, and on the home page if there is a feed available and I am not attending any events then the feed will be empty and I will have nothing to get more information about. (ckulig - Feb 15, 2021)",,,,,,,,In React within the list of events in the feed link individual events to the event details page - .5h,not completed,Unit Test -.5 hr,not completed,"Other core structural items are handled in ""View feed of events"" #176879375.",not completed,,,,,,,,,,,,,,
176879638,Update my private event,"basic event management, desirable",2,"Mar 15, 2021","Mar 21, 2021",feature,2,unstarted,"Feb 10, 2021",,,Karen Sommer,"As an event owner, I want to update a private event, so that I can modify the information(description, starting and ending date, and time) of the event. 7.2H",https://www.pivotaltracker.com/story/show/176879638,,,,,,"Given I logged in and an update button in the event, in the event list of the current events screen when I click on the button a page will be displayed with the different spaces to modify ( events name, description, location, and starting and ending date and time) then I can modify the information that I want. (Karen Sommer - Feb 14, 2021)","Given the current event screen is displayed, when I select an event then a new screen will be displayed with all the new information related to the event I previously updated. (Karen Sommer - Feb 15, 2021)",,,,,,,,Create the UI update event page - 2h,not completed,Bring event class - 0.2h,not completed,Show previous caracteristics of class - 0.5h,not completed,Update the event in the database - 0.5h,not completed,Create logic to update the event to the database - 2h,not completed,Write unit tests - 1h,not completed,Integrate and do testing - 1h,not completed,,,,,,
176879640,Delete private event,"basic event management, desirable",2,"Mar 15, 2021","Mar 21, 2021",feature,1,unstarted,"Feb 10, 2021",,,Karen Sommer,"As an event owner, I want to delete my private event, so that I can eliminate it if I don't want to have it anymore - 6.2H",https://www.pivotaltracker.com/story/show/176879640,,,,,,"Given I logged in and a deleted events button is available, when I click on the button, a list of the deleted events (only the deleted until a month ago) will show, then I can select if I want to reestablish it or to leave it there. (Karen Sommer - Feb 14, 2021)","Given I logged in and a delete button in the event, in the event list of the current events screen when I click on the button a confirmation box will pop up for my confirmation.Then after I accepted it, the event will not be on the current events list. (Karen Sommer - Feb 15, 2021)",,,,,,,,Create the UI delete event page - 2h,not completed,Bring event class - 0.2h,not completed,Create logic to delete the event to the database - 2h,not completed,Write unit tests - 1h,not completed,Integrate and do testing - 1h,not completed,,,,,,,,,,
